class_id,category_id,category_name,object_count,image_count,train,val,test
0,1,person,268029,66808,215054,26145,26830
1,2,bicycle,7370,3401,5856,734,780
2,3,car,45451,12786,36512,4477,4462
3,4,motorcycle,9021,3661,7279,966,776
4,5,airplane,5272,3083,4166,555,551
5,6,bus,6344,4141,5194,560,590
6,7,train,4760,3745,3820,431,509
7,8,truck,10384,6377,8223,1023,1138
8,9,boat,11000,3146,8792,1013,1195
9,10,traffic light,13476,4330,10928,1245,1303
10,11,fire hydrant,1966,1797,1588,191,187
11,13,stop sign,2058,1803,1627,211,220
12,14,parking meter,1343,742,1103,138,102
13,15,bench,10231,5805,8272,987,972
14,16,bird,10969,3362,8676,1246,1047
15,17,cat,4968,4298,3948,525,495
16,18,dog,5718,4562,4568,611,539
17,19,horse,6839,3069,5466,612,761
18,20,sheep,9577,1594,7737,825,1015
19,21,cow,8386,2055,6896,778,712
20,22,elephant,5736,2232,4574,587,575
21,23,bear,1365,1009,1089,132,144
22,24,zebra,5535,2001,4528,554,453
23,25,giraffe,5360,2647,4323,491,546
24,27,backpack,9085,5756,7222,925,938
25,28,umbrella,11672,4142,9321,1109,1242
26,31,handbag,12882,7133,10420,1172,1290
27,32,tie,6700,3955,5354,662,684
28,33,suitcase,6411,2507,5182,644,585
29,34,frisbee,2796,2268,2218,269,309
30,35,skis,6864,3202,5483,681,700
31,36,snowboard,2750,1703,2174,285,291
32,37,sports ball,6559,4431,5231,630,698
33,38,kite,9129,2352,7283,925,921
34,39,baseball bat,3418,2603,2739,320,359
35,40,baseball glove,3895,2729,3150,392,353
36,41,skateboard,5715,3603,4529,588,598
37,42,surfboard,6362,3635,5131,596,635
38,43,tennis racket,5032,3561,3947,537,548
39,44,bottle,25083,8880,20309,2394,2380
40,46,wine glass,8180,2643,6665,765,750
41,47,cup,21469,9579,17375,2096,1998
42,48,fork,5689,3710,4678,512,499
43,49,knife,8085,4507,6581,728,776
44,50,spoon,6412,3682,5143,615,654
45,51,bowl,14946,7425,11924,1523,1499
46,52,banana,9565,2346,7600,1001,964
47,53,apple,6012,1662,4953,468,591
48,54,sandwich,4533,2463,3739,400,394
49,55,orange,6587,1784,5350,578,659
50,56,broccoli,7573,2010,6146,699,728
51,57,carrot,8123,1764,6594,721,808
52,58,hot dog,3008,1273,2474,280,254
53,59,pizza,6091,3319,4886,640,565
54,60,donut,7333,1585,5971,628,734
55,61,cake,6606,3049,5345,685,576
56,62,chair,39844,13354,31950,3728,4166
57,63,couch,6040,4618,4841,612,587
58,64,potted plant,8973,4624,7156,945,872
59,65,bed,4355,3831,3444,483,428
60,67,dining table,16390,12338,13251,1596,1543
61,70,toilet,4328,3502,3512,412,404
62,72,tv,6091,4768,4841,620,630
63,73,laptop,5191,3707,4152,532,507
64,74,mouse,2367,1964,1892,239,236
65,75,remote,5983,3221,4793,599,591
66,76,keyboard,3007,2221,2354,350,303
67,77,cell phone,6684,5017,5387,646,651
68,78,microwave,1727,1601,1389,161,177
69,79,oven,3477,2992,2788,344,345
70,80,toaster,234,225,190,20,24
71,81,sink,5834,4865,4676,545,613
72,82,refrigerator,2760,2461,2177,282,301
73,84,book,25206,5562,20185,2606,2415
74,85,clock,6587,4863,5241,681,665
75,86,vase,6851,3730,5369,721,761
76,87,scissors,1500,975,1174,198,128
77,88,teddy bear,4919,2234,3936,497,486
78,89,hair drier,209,198,175,16,18
79,90,toothbrush,2002,1041,1587,228,187
