split,internal_record_id,source_split,image_id,source_image_path,source_project_image_path,source_project_label_path,smoke_image_path,smoke_label_path,valid_object_count,label_annotation_count,category_names,image_link_strategy,label_link_strategy
train,train2017_272480,train2017,272480,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000272480.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000272480.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000272480.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000272480.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000272480.txt,65,65,"[""apple"", ""backpack"", ""bed"", ""book"", ""bottle"", ""bowl"", ""cat"", ""chair"", ""cup"", ""dining table"", ""knife"", ""laptop"", ""microwave"", ""orange"", ""potted plant"", ""refrigerator"", ""sink"", ""toaster""]",hardlink,hardlink
train,train2017_373060,train2017,373060,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000373060.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000373060.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000373060.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000373060.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000373060.txt,39,39,"[""bicycle"", ""bus"", ""car"", ""clock"", ""handbag"", ""motorcycle"", ""person"", ""suitcase"", ""traffic light"", ""truck""]",hardlink,hardlink
train,val2017_435081,val2017,435081,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\val2017\000000435081.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\val2017_000000435081.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\val2017_000000435081.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\val2017_000000435081.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\val2017_000000435081.txt,62,62,"[""bowl"", ""cake"", ""carrot"", ""chair"", ""cup"", ""dining table"", ""donut"", ""fork"", ""knife"", ""pizza"", ""sandwich"", ""spoon"", ""vase""]",hardlink,hardlink
train,train2017_498156,train2017,498156,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000498156.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000498156.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000498156.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000498156.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000498156.txt,23,23,"[""book"", ""couch"", ""cup"", ""dog"", ""keyboard"", ""laptop"", ""mouse"", ""remote"", ""teddy bear"", ""tv""]",hardlink,hardlink
train,train2017_55575,train2017,55575,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000055575.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000055575.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000055575.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000055575.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000055575.txt,19,19,"[""bird"", ""cow"", ""elephant"", ""giraffe"", ""horse"", ""person"", ""tie"", ""zebra""]",hardlink,hardlink
train,train2017_306511,train2017,306511,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000306511.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000306511.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000306511.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000306511.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000306511.txt,14,14,"[""baseball bat"", ""baseball glove"", ""bench"", ""book"", ""bottle"", ""fire hydrant"", ""person"", ""sports ball""]",hardlink,hardlink
train,val2017_312237,val2017,312237,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\val2017\000000312237.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\val2017_000000312237.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\val2017_000000312237.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\val2017_000000312237.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\val2017_000000312237.txt,22,22,"[""backpack"", ""boat"", ""handbag"", ""kite"", ""person"", ""surfboard"", ""umbrella""]",hardlink,hardlink
train,train2017_443410,train2017,443410,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000443410.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000443410.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000443410.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000443410.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000443410.txt,37,37,"[""bear"", ""book"", ""bowl"", ""carrot"", ""cell phone"", ""chair"", ""couch"", ""cup"", ""dining table"", ""fork"", ""knife"", ""person"", ""vase"", ""wine glass""]",hardlink,hardlink
train,train2017_307564,train2017,307564,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000307564.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000307564.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000307564.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000307564.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000307564.txt,23,23,"[""banana"", ""bottle"", ""bowl"", ""broccoli"", ""chair"", ""cup"", ""dining table"", ""fork"", ""knife"", ""oven"", ""potted plant"", ""sink"", ""spoon"", ""vase""]",hardlink,hardlink
train,train2017_306830,train2017,306830,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\raw\coco2017\train2017\000000306830.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\images\train\train2017_000000306830.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\processed\coco_yolo\labels\train\train2017_000000306830.txt,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\images\train\train2017_000000306830.jpg,G:\intership projects\Real-Time Object Detection using YOLOv5\code\data\smoke\coco_yolov5\labels\train\train2017_000000306830.txt,17,17,"[""bottle"", ""cat"", ""knife"", ""scissors"", ""sink"", ""toilet"", ""toothbrush""]",hardlink,hardlink
